replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
23	3	0.24324324324324326	0.2972972972972973
23	4	0.1891891891891892	0.21621621621621623
23	5	0.13513513513513514	0.16216216216216217
23	6	0.08108108108108109	0.10810810810810811
23	7	0.08108108108108109	0.08108108108108109
23	8	0.02702702702702703	0.02702702702702703
23	9	0.02702702702702703	0.02702702702702703
23	10	0.0	0.0
24	1	1.0	5.054054054054054
24	2	0.7027027027027027	1.135135135135135
24	3	0.5135135135135135	0.5945945945945946
24	4	0.24324324324324326	0.24324324324324326
24	5	0.10810810810810811	0.10810810810810811
24	6	0.08108108108108109	0.08108108108108109
24	7	0.02702702702702703	0.02702702702702703
24	8	0.02702702702702703	0.02702702702702703
24	9	0.0	0.0
24	10	0.0	0.0
25	1	1.0	4.513513513513513
25	2	0.40540540540540543	0.6756756756756757
25	3	0.24324324324324326	0.2702702702702703
25	4	0.16216216216216217	0.1891891891891892
25	5	0.13513513513513514	0.16216216216216217
25	6	0.10810810810810811	0.10810810810810811
25	7	0.08108108108108109	0.08108108108108109
25	8	0.05405405405405406	0.05405405405405406
25	9	0.02702702702702703	0.02702702702702703
25	10	0.02702702702702703	0.02702702702702703
26	1	1.0	5.1891891891891895
26	2	0.5135135135135135	0.972972972972973
26	3	0.35135135135135137	0.5675675675675675
26	4	0.2972972972972973	0.3783783783783784
26	5	0.10810810810810811	0.10810810810810811
26	6	0.08108108108108109	0.08108108108108109
26	7	0.02702702702702703	0.02702702702702703
26	8	0.0	0.0
26	9	0.0	0.0
26	10	0.0	0.0
27	1	1.0	5.297297297297297
27	2	0.6216216216216216	0.918918918918919
27	3	0.2702702702702703	0.32432432432432434
27	4	0.1891891891891892	0.21621621621621623
27	5	0.13513513513513514	0.13513513513513514
27	6	0.05405405405405406	0.05405405405405406
27	7	0.05405405405405406	0.05405405405405406
27	8	0.02702702702702703	0.02702702702702703
27	9	0.02702702702702703	0.02702702702702703
27	10	0.02702702702702703	0.02702702702702703
28	1	1.0	5.45945945945946
28	2	0.4864864864864865	0.8378378378378378
28	3	0.21621621621621623	0.32432432432432434
28	4	0.16216216216216217	0.21621621621621623
28	5	0.13513513513513514	0.16216216216216217
28	6	0.10810810810810811	0.10810810810810811
28	7	0.05405405405405406	0.05405405405405406
28	8	0.05405405405405406	0.05405405405405406
28	9	0.05405405405405406	0.05405405405405406
28	10	0.02702702702702703	0.02702702702702703
29	1	1.0	5.081081081081081
29	2	0.4594594594594595	0.7027027027027027
29	3	0.32432432432432434	0.40540540540540543
29	4	0.1891891891891892	0.1891891891891892
29	5	0.13513513513513514	0.13513513513513514
29	6	0.10810810810810811	0.10810810810810811
29	7	0.02702702702702703	0.02702702702702703
29	8	0.0	0.0
29	9	0.0	0.0
29	10	0.0	0.0
30	1	1.0	4.945945945945946
30	2	0.6486486486486487	1.1891891891891893
30	3	0.4864864864864865	0.7027027027027027
30	4	0.32432432432432434	0.3783783783783784
30	5	0.21621621621621623	0.24324324324324326
30	6	0.10810810810810811	0.13513513513513514
30	7	0.08108108108108109	0.08108108108108109
30	8	0.05405405405405406	0.05405405405405406
30	9	0.05405405405405406	0.05405405405405406
30	10	0.05405405405405406	0.05405405405405406
31	1	1.0	4.54054054054054
31	2	0.5675675675675675	0.8918918918918919
31	3	0.32432432432432434	0.5135135135135135
31	4	0.21621621621621623	0.2972972972972973
31	5	0.21621621621621623	0.2972972972972973
31	6	0.16216216216216217	0.16216216216216217
31	7	0.08108108108108109	0.08108108108108109
31	8	0.02702702702702703	0.02702702702702703
31	9	0.02702702702702703	0.02702702702702703
31	10	0.02702702702702703	0.02702702702702703
32	1	1.0	5.081081081081081
32	2	0.43243243243243246	0.6486486486486487
32	3	0.24324324324324326	0.2972972972972973
32	4	0.16216216216216217	0.1891891891891892
32	5	0.13513513513513514	0.13513513513513514
32	6	0.05405405405405406	0.05405405405405406
32	7	0.05405405405405406	0.05405405405405406
32	8	0.02702702702702703	0.02702702702702703
32	9	0.02702702702702703	0.02702702702702703
32	10	0.02702702702702703	0.02702702702702703
33	1	1.0	5.108108108108108
33	2	0.4594594594594595	0.8918918918918919
33	3	0.3783783783783784	0.5405405405405406
33	4	0.1891891891891892	0.2702702702702703
33	5	0.16216216216216217	0.1891891891891892
33	6	0.13513513513513514	0.13513513513513514
33	7	0.10810810810810811	0.10810810810810811
33	8	0.08108108108108109	0.08108108108108109
33	9	0.05405405405405406	0.05405405405405406
33	10	0.02702702702702703	0.02702702702702703
34	1	1.0	5.027027027027027
34	2	0.4594594594594595	0.7027027027027027
34	3	0.2702702702702703	0.35135135135135137
34	4	0.16216216216216217	0.16216216216216217
34	5	0.08108108108108109	0.08108108108108109
34	6	0.08108108108108109	0.08108108108108109
34	7	0.05405405405405406	0.05405405405405406
34	8	0.05405405405405406	0.05405405405405406
34	9	0.05405405405405406	0.05405405405405406
34	10	0.0	0.0
